Country,Impressions,Estimated earnings (EUR),Page views,Page RPM (EUR),Impression RPM (EUR),CTR,Active View Viewable,Average Viewable Time,Active View Measurable,Total impressions,Clicks,CPC (EUR),Page CTR,Ad requests,Ad request CTR,Ad request RPM (EUR),Coverage,Matched ad requests,Matched ad CTR,Matched ad RPM (EUR),Ads per impression,Ad CTR,Ad impressions,Ad RPM (EUR),Funnel requests,Funnel clicks,Funnel RPM (EUR),Funnel impressions
Philippines,93394,166.29,57338,2.90,1.78,0.056,0.5967,12.7791,0.9993,93394,5233,0.03,0.0913,183881,0.0285,0.90,0.6632,121948,0.0429,1.36,1.0052,0.0557,93884,1.77,193,660,0.00,90
Malawi,65625,17.39,229988,0.08,0.27,0.005,0.7859,22.8597,0.9984,65625,328,0.05,0.0014,567147,0.0006,0.03,0.1379,78184,0.0042,0.22,1.0011,0.005,65697,0.26,5017,57,0.02,3670
India,34956,45.99,26206,1.76,1.32,0.0354,0.6325,11.4319,0.9989,34956,1236,0.04,0.0472,74055,0.0167,0.62,0.632,46803,0.0264,0.98,1.0043,0.0352,35106,1.31,300,178,0.99,149
Bahamas,25574,97.91,12644,7.74,3.83,0.0344,0.6174,11.1393,0.9985,25574,879,0.11,0.0695,38243,0.023,2.56,0.8075,30880,0.0285,3.17,1.0016,0.0343,25615,3.82,143,48,2.53,84
United States,21201,168.01,115820,1.45,7.92,0.0275,1,7.2759,0.9962,21201,582,0.29,0.005,286801,0.002,0.59,0.1934,55477,0.0105,3.03,1.001,0.0274,21222,7.92,2116,849,0.00,1778
Saudi Arabia,17052,76.37,7888,9.68,4.48,0.0353,0.5859,12.8787,0.9998,17052,602,0.13,0.0763,25844,0.0233,2.95,0.8156,21078,0.0286,3.62,1.0053,0.0351,17142,4.46,32,95,4.59,20
Cayman Islands,16068,83.64,7106,11.77,5.21,0.0245,0.5793,11.6776,0.9997,16068,393,0.21,0.0553,22507,0.0175,3.72,0.8405,18918,0.0208,4.42,1.0013,0.0244,16089,5.20,56,24,4.23,29
Nigeria,15093,26.23,10069,2.61,1.74,0.0454,0.6205,15.6346,1,15093,685,0.04,0.068,29209,0.0235,0.90,0.6929,20238,0.0338,1.30,1.0034,0.0452,15145,1.73,90,66,0.00,34
United Arab Emirates,14919,106.80,7353,14.52,7.16,0.0389,0.6102,12.8814,0.9948,14919,580,0.18,0.0789,21940,0.0264,4.87,0.868,19045,0.0305,5.61,1.0049,0.0387,14992,7.12,50,77,4.14,23
South Africa,14533,33.81,9727,3.48,2.33,0.0367,0.7575,26.9368,0.9938,14533,533,0.06,0.0548,26848,0.0199,1.26,0.7108,19084,0.0279,1.77,1.004,0.0365,14591,2.32,235,51,0.00,159
Pakistan,11788,12.77,10247,1.25,1.08,0.042,0.6642,13.4715,0.9992,11788,495,0.03,0.0483,28917,0.0171,0.44,0.565,16337,0.0303,0.78,1.0061,0.0417,11860,1.08,124,92,0.50,51
Austria,11718,118.64,5372,22.09,10.13,0.02,0.6189,13.1626,0.9986,11718,234,0.51,0.0436,17132,0.0137,6.93,0.8178,14010,0.0167,8.47,1.0016,0.0199,11737,10.11,31,28,0.00,21
Trinidad & Tobago,10324,22.38,5986,3.74,2.17,0.0239,0.5593,10.6583,0.9997,10324,247,0.09,0.0413,19050,0.013,1.17,0.6887,13119,0.0188,1.71,1.0012,0.0239,10336,2.17,14,14,0.00,3
United Kingdom,8259,92.16,4439,20.76,11.16,0.0349,0.6351,12.3196,0.999,8259,288,0.32,0.0649,12647,0.0228,7.29,0.8223,10399,0.0277,8.86,1.0039,0.0347,8291,11.12,36,23,0.00,21
Kenya,7809,12.22,5469,2.23,1.56,0.0394,0.6107,16.9081,0.9992,7809,308,0.04,0.0563,14929,0.0206,0.82,0.6982,10423,0.0296,1.17,1.0065,0.0392,7860,1.55,78,61,3.09,32
Gambia,6864,19.56,4884,4.00,2.85,0.0511,0.6438,18.1322,0.9985,6864,351,0.06,0.0719,13296,0.0264,1.47,0.71,9440,0.0372,2.07,1.0061,0.0508,6906,2.83,54,45,0.00,34
Canada,5410,49.50,2899,17.07,9.15,0.0325,0.613,11.0946,0.9992,5410,176,0.28,0.0607,8764,0.0201,5.65,0.7867,6895,0.0255,7.18,1.0024,0.0325,5423,9.13,47,21,0.00,22
Netherlands,5375,83.07,2946,28.20,15.46,0.0292,0.6262,12.6811,0.9977,5375,157,0.53,0.0533,8634,0.0182,9.62,0.7768,6707,0.0234,12.39,1.003,0.0291,5391,15.41,15,18,0.00,3
